id,student_id,tenant_id,accessed_at,ip,user_agent
a4599907-90d9-4c97-b246-3e9a7952a2b4,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 10:34:01.052113+00,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Firefox/152.0
a862263c-9b91-4554-97c3-9dacd9e3f23f,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 11:01:39.784901+00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
d93a7cea-2e5d-4cfd-8ffe-5ae7033414e8,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 11:01:39.784819+00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
c70f1844-ded7-4dbc-a198-7ea2b03c93c5,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 11:34:07.290749+00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
95a212da-d0f0-4db0-9898-7ac3da3eb05f,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 11:34:07.29106+00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
1b937716-3f0a-464e-86c1-937de9366dab,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 11:44:54.863456+00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
86601251-34bb-434c-81c5-03f61c694666,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 11:44:54.851834+00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
ac968306-6f6e-4783-81e2-48c88eab52f4,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 11:46:45.64277+00,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
e3453f13-e310-49d3-8364-1b29d5352e18,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 12:10:40.560377+00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
59af30ac-7ad8-44d2-9729-6decf9e61807,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 12:29:49.500189+00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
222fabc9-3a06-40ec-a68d-51179b7c9a45,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-23 13:00:49.38021+00,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
7c52b5c3-516d-446f-b553-31b71240a916,87026f97-9900-40e1-b4f1-4047cb9b9df1,07cc7290-5d3f-421b-a514-b21d6a683494,2026-06-23 14:04:39.383774+00,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Firefox/152.0
a36f3c49-b580-4c8c-99b2-69f1d3e84f00,87026f97-9900-40e1-b4f1-4047cb9b9df1,07cc7290-5d3f-421b-a514-b21d6a683494,2026-06-23 14:46:26.163057+00,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Firefox/152.0
fdf68592-863a-46d0-adc2-fb837efb2e49,87026f97-9900-40e1-b4f1-4047cb9b9df1,07cc7290-5d3f-421b-a514-b21d6a683494,2026-06-24 10:46:11.388573+00,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:152.0) Gecko/20100101 Firefox/152.0
c6ba5cb3-86c5-402e-80ed-396e48614093,92e5bfee-b212-4d38-bce7-e012a0bf44de,82728988-d739-4851-8718-cb574126d861,2026-06-24 13:22:55.17683+00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/149.0.7827.137 Mobile/15E148 Safari/604.1"
93fe1aea-af9b-4d8f-a0ff-2f1c66dba0b1,0e09ea1b-582d-4736-bd35-a0777a5014d4,82728988-d739-4851-8718-cb574126d861,2026-06-25 17:52:13.72387+00,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
78f2954b-3436-4bac-a531-910da84a3533,0e09ea1b-582d-4736-bd35-a0777a5014d4,82728988-d739-4851-8718-cb574126d861,2026-06-25 17:52:33.655074+00,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
c79a9e37-43ac-476f-b298-23f1a6f16c84,0e09ea1b-582d-4736-bd35-a0777a5014d4,82728988-d739-4851-8718-cb574126d861,2026-06-25 18:07:21.29912+00,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
266d66fa-effc-4202-844e-8275540d8028,0e09ea1b-582d-4736-bd35-a0777a5014d4,82728988-d739-4851-8718-cb574126d861,2026-06-25 18:10:56.805537+00,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36"
