id,tenant_id,name,description,color,created_at,updated_at,demo_data,logo_url,display_name,primary_color,secondary_color
d8e90835-f967-49b7-8f4e-e5393a34174d,07cc7290-5d3f-421b-a514-b21d6a683494,Futebol Masculino,,#1e88e5,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t,,,,
e8ede3ac-c4cb-41a1-bef1-adc3625a968f,07cc7290-5d3f-421b-a514-b21d6a683494,Futebol Feminino,,#ec407a,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t,,,,
fc328287-0a14-4985-b9e4-6cc56fbe6dd6,07cc7290-5d3f-421b-a514-b21d6a683494,Futsal,,#43a047,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t,,,,
78c15c34-48c6-4064-94eb-9711e4a67c25,07cc7290-5d3f-421b-a514-b21d6a683494,Voleibol,,#fb8c00,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t,,,,
e9fd72e5-eef3-4421-8223-5552fae3d744,07cc7290-5d3f-421b-a514-b21d6a683494,Basquete,,#e53935,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t,,,,
15977e9d-3f54-4aa6-994b-df3bf60f8939,07cc7290-5d3f-421b-a514-b21d6a683494,Atletismo,,#8e24aa,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t,,,,
3a152c3d-909d-4c67-89ff-1a674a3196dc,07cc7290-5d3f-421b-a514-b21d6a683494,Handebol,,#00acc1,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t,,,,
a9c30b1c-70a8-4bab-a6cb-fbed65d54c20,07cc7290-5d3f-421b-a514-b21d6a683494,Treinamento Funcional,,#6d4c41,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t,,,,
675b336a-7f53-4547-afca-ffa67a950b38,07cc7290-5d3f-421b-a514-b21d6a683494,Grupo Saúde,,#26a69a,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t,,,,
e915b8b1-7eee-4bb0-a9f4-ea84692f2840,07cc7290-5d3f-421b-a514-b21d6a683494,Grupo Alto Rendimento,,#5e35b5,2026-06-19 09:12:14.107688+00,2026-06-19 09:12:14.107688+00,t,,,,
a862b8e9-5b15-47e5-9fc0-d2c201b787a1,82728988-d739-4851-8718-cb574126d861,Time Futebol 9º Ano,,,2026-09-09 09:45:53.054701+00,2026-09-09 09:45:53.054701+00,f,,,,
